"","species","area.km2","status"
"1","Ribes californicum",134902.676760144,"NT"
"2","Adenostoma fasciculatum",353487.349916657,"NT"
"3","Schoenoplectus californicus",10424191.9845295,"NT"
"4","Cornus canadensis",13165238.8341054,"NT"
"5","Lepidium nitidum",814398.883318211,"NT"
"6","Calypso bulbosa",12630525.2184358,"NT"
"7","Collinsia concolor",70294.9928864306,"NT"
"8","Collinsia heterophylla",302366.846140118,"NT"
"9","Calochortus pulchellus",9191.98436595411,"VU"
"10","Allium falcifolium",264743.71268951,"NT"
"11","Apocynum androsaemifolium",11287175.5268914,"NT"
"12","Lewisia rediviva",1914475.7145719,"NT"
"13","Sequoia sempervirens",4471849.70136691,"NT"
"14","Spartium junceum",14051909.5283737,"NT"
"15","Lotus corniculatus",28619985.5714405,"NT"
"16","Calliandra haematocephala",15391897.4134135,"NT"
"17","Albizia julibrissin",54030646.6762776,"NT"
"18","Acacia confusa",5916072.48778643,"NT"
"19","Mimosa pigra",40802225.8387273,"NT"
"20","Leucaena leucocephala",97758138.6697867,"NT"
"21","Mimosa quadrivalvis",4793837.20485,"NT"
"22","Mimosa aculeaticarpa",1940847.9267438,"NT"
"23","Rubus spectabilis",2348926.06195053,"NT"
"24","Taxus baccata",13955724.1099344,"NT"
"25","Pinus canariensis",6533510.94171681,"NT"
"26","Nerium oleander",76732482.9806055,"NT"
"27","Populus nigra",61842693.1864212,"NT"
"28","Populus alba",51383356.6846233,"NT"
"29","Populus tremula",552969.642815131,"NT"
"30","Juniperus sabina",12434977.7881751,"NT"
"31","Juniperus horizontalis",27529469.1474152,"NT"
"32","Cypripedium acaule",5350105.9717308,"NT"
"33","Chlorogalum pomeridianum",338872.894075846,"NT"
"34","Taraxacum officinale",77979370.7824144,"NT"
"35","Erodium cicutarium",46836903.4990561,"NT"
"36","Sherardia arvensis",11619704.3086827,"NT"
"37","Cynosurus echinatus",7891980.34917664,"NT"
"38","Hesperis matronalis",23313559.0639372,"NT"
"39","Geranium maculatum",3104661.14145637,"NT"
"40","Geranium erianthum",3692690.61512609,"NT"
"41","Acer negundo",34485812.9889615,"NT"
"42","Equisetum fluviatile",42170075.2309117,"NT"
"43","Polystichum munitum",1032538.45609047,"NT"
"44","Oxalis oregana",308617.941861446,"NT"
"45","Iris pseudacorus",30216970.2815769,"NT"
"46","Yucca brevifolia",171786.315124146,"NT"
"47","Yucca baccata",1046392.48689881,"NT"
"48","Koeberlinia spinosa",1363409.34055435,"NT"
"49","Quercus agrifolia",289978.493128441,"NT"
"50","Impatiens capensis",6128378.59390823,"NT"
"51","Impatiens pallida",2083323.9882926,"NT"
"52","Impatiens glandulifera",15667268.6192265,"NT"
"53","Opuntia humifusa",6131764.1548441,"NT"
"54","Opuntia macrocentra",1109317.93176254,"NT"
"55","Opuntia oricola",183171.589805987,"NT"
"56","Opuntia stricta",37016739.3578174,"NT"
"57","Opuntia atrispina",64214.2571536615,"NT"
"58","Asclepias ovalifolia",1283160.41036677,"NT"
"59","Asclepias angustifolia",990742.802549237,"NT"
"60","Asclepias amplexicaulis",2663863.30946239,"NT"
"61","Asclepias syriaca",7158046.9626428,"NT"
"62","Asclepias tuberosa",5717885.88898797,"NT"
"63","Chlorogalum grandiflorum",7449.37344124179,"VU"
"64","Arctostaphylos auriculata",18414.1029377591,"VU"
"65","Platanthera psycodes",2859336.47372076,"NT"
"66","Lobelia cardinalis",6127783.42024254,"NT"
"67","Lysimachia terrestris",3846018.6016423,"NT"
"68","Sagittaria latifolia",9118670.39448012,"NT"
"69","Acer nigrum",2367579.09739357,"NT"
"70","Acer floridanum",1719264.84491704,"NT"
"71","Acer pensylvanicum",1885388.4416935,"NT"
"72","Acer rubrum",5284254.65319404,"NT"
"73","Cynoglossum officinale",20748948.3698673,"NT"
"74","Couroupita guianensis",25048376.1965169,"NT"
"75","Galinsoga parviflora",36278791.5317064,"NT"
"76","Convallaria majalis",19382762.6640507,"NT"
"77","Clethra arborea",136411.470149654,"NT"
"78","Eschscholzia californica",45588017.5197593,"NT"
"79","Acer macrophyllum",824620.907841095,"NT"
"80","Ranunculus repens",58510076.4110904,"NT"
"81","Nephrolepis cordifolia",27712651.6380263,"NT"
"82","Erythronium americanum",3577209.8419345,"NT"
"83","Aquilegia formosa",5207537.1135818,"NT"
"84","Thuja plicata",5178267.62365574,"NT"
"85","Tsuga heterophylla",3206693.99696003,"NT"
"86","Pseudotsuga menziesii",10417475.9695968,"NT"
"87","Acer circinatum",521314.179989969,"NT"
"88","Vaccinium membranaceum",1684006.9423341,"NT"
"89","Vaccinium deliciosum",232815.53888962,"NT"
"90","Vaccinium ovatum",372077.842296398,"NT"
"91","Gaylussacia nana",455128.369036608,"NT"
"92","Vaccinium parvifolium",588010.040270125,"NT"
"93","Tecoma stans",69991273.0209667,"NT"
"94","Stenaria nigricans",2826717.26857995,"NT"
"95","Tricyrtis hirta",5723761.82760762,"NT"
"96","Antigonon leptopus",53832345.0922128,"NT"
"97","Heuchera sanguinea",20529429.7690914,"NT"
"98","Pinus longaeva",353879.725148042,"NT"
"99","Adiantum pedatum",5786942.75581868,"NT"
"100","Gaultheria shallon",1053880.11487397,"NT"
"101","Zea mays",118017232.509174,"NT"
"102","Pinus ponderosa",1628881.7386742,"NT"
"103","Pinus jeffreyi",533991.36902081,"NT"
"104","Aconitum delphiniifolium",6168999.92820402,"NT"
"105","Gleditsia amorphoides",2709843.21758131,"NT"
"106","Cercis canadensis",4365779.5983221,"NT"
"107","Capsicum annuum",7104844.79976481,"NT"
"108","Symphoricarpos albus",21254094.7996382,"NT"
"109","Lysichiton americanus",3278716.62024232,"NT"
"110","Cytisus scoparius",9385573.08945587,"NT"
"111","Mycelis muralis",8754679.52481657,"NT"
"112","Gompholobium scabrum",256060.094292029,"NT"
"113","Drymaria cordata",23026198.4904602,"NT"
"114","Sorbus sitchensis",2771799.20090315,"NT"
"115","Campanula trachelium",9018912.95525451,"NT"
"116","Allium cepa",12576141.8104479,"NT"
"117","Lithospermum canescens",2106858.88277536,"NT"
"118","Phytolacca bogotensis",2200616.78780806,"NT"
"119","Phytolacca americana",14737932.4930578,"NT"
"120","Datura metel",82440900.4229216,"NT"
"121","Echinocystis lobata",11595233.9627619,"NT"
"122","Nepeta cataria",33547318.2155272,"NT"
"123","Oenothera speciosa",13706174.5112421,"NT"
"124","Echinacea purpurea",13453229.5493628,"NT"
"125","Prunus americana",6578985.14485359,"NT"
"126","Cosmos sulphureus",115366013.687483,"NT"
"127","Pediomelum castoreum",74752.3162254415,"NT"
"128","Spiraea tomentosa",3495375.93250641,"NT"
"129","Carex typhina",3375237.62382008,"NT"
"130","Typha latifolia",56825233.578475,"NT"
"131","Setaria pumila",34039183.1228537,"NT"
"132","Liatris pycnostachya",2941460.43992581,"NT"
"133","Iris versicolor",4631559.45012494,"NT"
"134","Tsuga canadensis",2814145.86504163,"NT"
"135","Montia chamissoi",1231473.39995902,"NT"
"136","Sidalcea malviflora",568351.226730651,"NT"
"137","Umbellularia californica",439448.243487044,"NT"
"138","Cocos nucifera",64940781.5037336,"NT"
"139","Inga feuilleei",3237992.24745835,"NT"
"140","Inocarpus fagifer",1951994.83037671,"NT"
"141","Mangifera indica",49797229.2992833,"NT"
"142","Chrysophyllum cainito",9852048.6876631,"NT"
"143","Hibiscadelphus giffardianus",6235.1786150906,"VU"
"144","Miconia calvescens",6326909.51176179,"NT"
"145","Heliotropium angiospermum",10731193.8255132,"NT"
"146","Lilium kelleyanum",199255.825396918,"NT"
"147","Hulsea algida",226734.060434456,"NT"
"148","Polemonium eximium",50548.9372232531,"NT"
"149","Pinus contorta",10034673.7861785,"NT"
"150","Arceuthobium americanum",2481567.75003023,"NT"
"151","Eriogonum ovalifolium",1842943.61455438,"NT"
"152","Dicentra canadensis",2369738.50082855,"NT"
"153","Symplocarpus foetidus",2122969.15210392,"NT"
"154","Antirrhinum majus",86567514.2954552,"NT"
"155","Dactylorhiza incarnata",19977366.2097883,"NT"
"156","Centaurea montana",30449085.7804812,"NT"
"157","Heteranthera limosa",6850540.34894446,"NT"
"158","Pedicularis ornithorhynchos",498899.191413824,"NT"
"159","Scoliopus bigelovii",105652.051102723,"NT"
"160","Scoliopus hallii",33063.8272877063,"NT"
"161","Quercus rubra",12772165.0104267,"NT"
"162","Quercus velutina",3335799.77496615,"NT"
"163","Quercus douglasii",170503.126023251,"NT"
"164","Quercus turbinella",1148162.78284301,"NT"
"165","Quercus lobata",291732.746996446,"NT"
"166","Quercus virginiana",1628678.42325284,"NT"
"167","Hymenoxys hoopesii",2275763.62998336,"NT"
"168","Chimonanthus praecox",11700819.3664188,"NT"
"169","Myosotis scorpioides",36308221.4604841,"NT"
"170","Myosotis latifolia",41295830.9827676,"NT"
"171","Strelitzia reginae",129478215.011109,"NT"
"172","Betula lenta",1222825.04448097,"NT"
"173","Castanea dentata",3158266.97053409,"NT"
"174","Castanea mollissima",8173635.59067404,"NT"
"175","Callicarpa americana",1872967.10133794,"NT"
"176","Fagus grandifolia",3376254.98737764,"NT"
"177","Amelanchier stolonifera",5491088.46620934,"NT"
"178","Amelanchier arborea",6053023.46767109,"NT"
"179","Podophyllum peltatum",3032763.57179763,"NT"
"180","Mesembryanthemum crystallinum",6351591.39549703,"NT"
"181","Carpobrotus edulis",11142363.581984,"NT"
"182","Fouquieria splendens",1742172.07312882,"NT"
"183","Atrichoseris platyphylla",201908.481133369,"NT"
"184","Encelia farinosa",936918.949755138,"NT"
"185","Castilleja attenuata",546325.181526848,"NT"
"186","Castilleja coccinea",1901009.77898241,"NT"
"187","Castilleja exserta",710214.113326527,"NT"
"188","Castilleja purpurea",548847.270046119,"NT"
"189","Phacelia crenulata",1284680.85996547,"NT"
"190","Cylindropuntia bigelovii",702627.097340594,"NT"
"191","Cylindropuntia acanthocarpa",910932.246201991,"NT"
"192","Cylindropuntia echinocarpa",408454.778111311,"NT"
"193","Carex pendula",5429747.66089892,"NT"
"194","Scirpus pendulus",3261764.27216814,"NT"
